jp_pointer	jp_address	jp_string	jp_text	en_text
800a4900	800c0528	82c282c382ab	つづき	Continue
800a4904	80028a34	8e6e82df82a982e7	始めから	New Game
800a4908	800c0520	90dd92e8	設定	Options
800a490c	80028a24	835483458393836890dd92e8	サウンド設定	  Sound Mode
800a4910	80028a14	81408140814082618266826c	　　　ＢＧＭ	Music Volume
800a4914	80028a04	8.14081408140814E+023	　　　　ＳＥ	  SFX Volume
800a4918	800289f8	83588365838c8349	ステレオ	Stereo
800a491c	800289ec	8382836d8389838b	モノラル	 Mono 
800a4920	800289d8	83818362835a815b835782cc91ac82b3	メッセージの速さ	      Text Speed
800a4924	800c0518	82a882bb82a2	おそい	 Slow 
800a4928	800c0510	82d382c282a4	ふつう	Medium
800a492c	800c0508	82cd82e282a2	はやい	 Fast 
